nuts3,frac,date
Brighton and Hove,0.18831168831168832,2020-11-28
Brighton and Hove,0.39215686274509803,2020-12-05
Brighton and Hove,0.5511811023622047,2020-12-12
Brighton and Hove,0.7332123411978222,2020-12-19
Buckinghamshire,0.10578512396694215,2020-11-21
Buckinghamshire,0.18815331010452963,2020-11-28
Buckinghamshire,0.32370820668693007,2020-12-05
Buckinghamshire,0.5028462998102466,2020-12-12
Buckinghamshire,0.6812396236856668,2020-12-19
Coventry,0.16377649325626203,2020-12-12
Coventry,0.2797704447632712,2020-12-19
East Derbyshire,0.21001926782273603,2020-12-19
Enfield,0.14727540500736377,2020-11-21
Enfield,0.33194154488517746,2020-11-28
Enfield,0.5773333333333334,2020-12-05
Enfield,0.7722033898305085,2020-12-12
Enfield,0.836272040302267,2020-12-19
Essex Haven Gateway,0.11461318051575932,2020-11-21
Essex Haven Gateway,0.18256130790190736,2020-11-28
Essex Haven Gateway,0.39903846153846156,2020-12-05
Essex Haven Gateway,0.8503253796095445,2020-12-12
Essex Haven Gateway,0.8618266978922716,2020-12-19
Gloucestershire,0.1208955223880597,2020-12-12
Gloucestershire,0.23620309050772628,2020-12-19
Greater Manchester South West,0.18985695708712613,2020-12-19
Lincolnshire,0.13788659793814434,2020-12-19
North Yorkshire CC,0.12142857142857143,2020-12-12
North Yorkshire CC,0.19573400250941028,2020-12-19
Portsmouth,0.1330049261083744,2020-11-28
Portsmouth,0.31746031746031744,2020-12-05
Portsmouth,0.48091603053435117,2020-12-12
Portsmouth,0.5288966725043783,2020-12-19
Redbridge and Waltham Forest,0.15860014892032762,2020-11-21
Redbridge and Waltham Forest,0.29312865497076024,2020-11-28
Redbridge and Waltham Forest,0.444377630787733,2020-12-05
Redbridge and Waltham Forest,0.6320441988950276,2020-12-12
Redbridge and Waltham Forest,0.7646603444939036,2020-12-19
Southampton,0.11920529801324503,2020-12-05
Southampton,0.3212669683257919,2020-12-12
Southampton,0.3876651982378855,2020-12-19
Southend-on-Sea,0.22631578947368422,2020-11-21
Southend-on-Sea,0.37,2020-11-28
Southend-on-Sea,0.33941605839416056,2020-12-05
Southend-on-Sea,0.5711743772241993,2020-12-12
Southend-on-Sea,0.7170698924731183,2020-12-19
Walsall,0.20212765957446807,2020-12-12
Walsall,0.4560530679933665,2020-12-19
